time,open,high,low,close,dynamic_sine_wave,dynamic_cosine_wave,adaptive_EB_sinewave,cycle_strength,cycle_stability,snr,cycle_phase,cycle_stage,cycle_stage_pct,cycle_phase_velocity,phase_velocity,phase_direction
1743391200,3108.77,3109.76,3108.47,3108.71,1.2610240643414183,0.46896280141543667,0,0.9999999762567836,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743391260,3108.72,3109.02,3108.05,3108.08,1.3536927042308513,0.2802247700521149,0,0.9999999786311052,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743391320,3108.13,3108.16,3105.93,3105.93,1.3620134196109244,0.025161376673188345,0,0.9999999807679947,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743391380,3105.94,3106.36,3105.13,3105.36,1.3208722008451574,-0.12440873829654019,0,0.9999999826911952,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,3.141592653589793,1,1
1743391440,3105.38,3106.75,3105.38,3106.73,0.9447611076724394,-1.1373388529725552,0,0.9999999844220756,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743391500,3106.77,3108.17,3106.62,3107.76,0.4662704890044084,-1.446928796498209,0,0.9999999859798681,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743391560,3107.82,3108.25,3106.91,3108.25,-0.06274777207932819,-1.599721553509755,0,0.9999999873818812,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743391620,3108.24,3108.5,3107.03,3107.58,-0.5849663384262689,-1.5791596579610918,0,0.9999999886436931,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743391680,3107.44,3107.9,3106.79,3107.88,-1.0437947253167792,-1.3874713102856007,0,0.9999999897793238,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743391740,3107.87,3108.18,3107.64,3108.04,-1.3895117575753062,-1.0454289173050915,0,0.9999999908013915,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743391800,3108.12,3109.89,3107.56,3109.89,-1.4574900674705116,-0.20556259681423808,0,0.9999999917212523,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743391860,3109.72,3110.01,3108.58,3109.34,-1.4790307431956347,-0.06513779536466577,0,0.9999999925491271,1,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743391920,3109.33,3110.46,3109.17,3109.67,-1.3402954883689582,0.41952763014880656,0,0.9999999932942144,1,0.99331422468094,-8.668621376273222e-13,0.999999999999862,99.9999999999862,-3.141592653589793,-1,-1
1743391980,3109.58,3110.8,3106.52,3106.61,-1.0563184205502314,0.8587307272937624,0,0.999999993964793,1,0.8689297898160081,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743392040,3106.56,3107.32,3106.32,3107.32,-0.6578728613958237,1.2048770255563253,0,0.9999999945683137,1,0.7401166519965675,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743392100,3107.31,3108.01,3106.4,3107.97,-0.18813656975997234,1.4204562025065355,0,0.9999999951114823,1,0.6347308652163434,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743392160,3107.9,3108.9,3107.33,3108.83,0.28729322852450034,1.437673047312974,0,0.999999995600334,1,0.523122985359834,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743392220,3108.88,3109.2,3106.47,3106.55,0.673105448065384,1.7193098116652408,0,0.9999999960403007,1,0.4000785813678932,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743392280,3106.56,3107.1,3105.86,3106.62,0.9201412905944338,1.041784469152373,0,0.9305199288043501,0,0.35066441226931555,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743392340,3106.63,3107.96,3106.11,3107.77,1.1842780297490425,1.0436482861364968,0,0.8706957629684434,0,0.30759423481761133,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743392400,3107.73,3108.04,3107.49,3107.75,1.373515975872315,0.7448834456539469,0,0.8215188331944911,0,0.3297548840964031,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743392460,3107.74,3108.16,3107.15,3107.46,1.4746623105609538,0.3975372367549433,0,0.7824701757102985,0,0.37010752784188367,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743392520,3107.45,3107.73,3107.31,3107.6,1.4087678612435635,-0.2587530526156708,0,0.7582630998695102,0.07354481367745813,0.4809183502202286,-3.1415926535906706,0.49999999999986033,49.99999999998603,3.141592653589793,1,1
1743392580,3107.48,3107.48,3106.77,3107.15,1.3236847918176056,-0.33391403183686513,0,0.7594594677085446,0.37435445639918674,0.6151620206518689,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743392640,3107.12,3107.41,3107.07,3107.34,1.1530519873094627,-0.6694285254912352,0,0.7750263561880089,0.5780203818072296,0.7584309320495161,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743392700,3107.35,3107.85,3107.31,3107.81,0.907855063635882,-0.9617707264073323,0,0.797523720569208,0.7156487974866541,0.8896199034470605,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743392760,3107.78,3107.78,3107.39,3107.61,0.603936844395485,-1.1919804978224124,0,0.8177713485122872,0.8086289677541574,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743392820,3107.6,3108.09,3107.45,3108.09,0.26095304179112,-1.3451355577115713,0,0.8359942136610584,0.8714271160277298,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743392880,3108.08,3108.23,3107.74,3107.82,-0.09455120563751059,-1.3942101768329052,0,0.8523947922949525,0.9137927963693575,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743392940,3107.81,3107.96,3107.46,3107.49,-0.3941412032684925,-1.174915824682026,0,0.8671553130654572,0.9423062590958183,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743393000,3107.44,3107.51,3106.72,3106.95,-0.6766176513252028,-1.1077963084155287,0,0.8804397817589115,0.9614377396151215,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743393060,3106.94,3107.41,3106.61,3107.22,-0.9153388854941655,-0.9361985056742741,0,0.8923958035830203,0.9742474275303522,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743393120,3107.18,3108.04,3106.79,3107.09,-1.0948667761903017,-0.7040580735678326,0,0.9031562232247182,0.9828120372066527,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743393180,3107.12,3107.56,3107.1,3107.56,-1.203591351434343,-0.426387170395186,0,0.9128406009022464,0.9885327981432761,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743393240,3107.55,3108.08,3107.38,3108.08,-1.2344814843859442,-0.12114238627090963,0,0.9215565408120218,0.9923514876733311,1,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743393300,3108.14,3108.69,3107.52,3107.52,-1.1855395297691287,0.19193652608588946,0,0.9294008867308196,0.9948993951857964,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,-3.141592653589793,-1,-1
1743393360,3107.54,3108.09,3107.31,3107.31,-1.0599304829950666,0.4926032002491657,0,0.9364607980577376,0.9965989147057628,0.9684884997849853,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743393420,3107.29,3107.29,3106.7,3106.81,-0.8657772936242776,0.7614139575945347,0,0.9428147182519638,0.9977323216656548,0.9039785682404216,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743393480,3106.86,3107.58,3106.86,3107.19,-0.4162394284551656,1.7629604980657307,0,0.9485332464267674,0.9984880946602073,0.8556906299762611,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743393540,3107.24,3107.28,3106.55,3107.06,-0.2201976707762297,0.7688203837985813,0,0.9536799217840907,0.9989920126331917,0.8493012499281061,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743393600,3107.07,3107.07,3106.01,3106.3,-0.009916053970578171,0.8246650871448421,0,0.9583119296056816,0.9993279860835064,0.8634748363210709,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743393660,3106.31,3107.01,3106.31,3106.93,0.20100681952882316,0.8271799143415909,0,0.9624807366451134,0.9995519804434918,0.8885763429309292,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743393720,3107.04,3107.34,3106.37,3106.79,0.3380162830120314,0.5373124041261442,0,0.9662326629806021,0.9997013155376099,0.899450104265275,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743393780,3106.8,3106.96,3106.49,3106.93,0.45821313214000664,0.4713780809415713,0,0.9696093966825419,0.9998008748516426,0.9131976882216545,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
